# experiment: CNN Data Augmentation Adam
image_index,predicted_class
0,16
1,1
2,38
3,35
4,11
5,38
6,18
7,42
8,11
9,35
10,12
11,4
12,4
13,5
14,2
15,9
16,23
17,11
18,11
19,38
20,4
21,33
22,9
23,25
24,4
25,11
26,13
27,10
28,10
29,11
30,8
31,17
32,35
33,4
34,2
35,17
36,1
37,12
38,16
39,4
40,7
41,11
42,18
43,12
44,27
45,11
46,3
47,10
48,30
49,3
50,4
51,13
52,15
53,10
54,13
55,42
56,8
57,26
58,9
59,7
60,38
61,10
62,4
63,4
64,15
65,9
66,26
67,4
68,8
69,25
70,11
71,25
72,4
73,35
74,4
75,12
76,1
77,10
78,11
79,11
80,21
81,33
82,25
83,5
84,10
85,35
86,3
87,7
88,22
89,13
90,5
91,2
92,1
93,14
94,12
95,32
96,3
97,38
98,9
99,33
100,1
101,10
102,4
103,11
104,33
105,4
106,35
107,25
108,33
109,4
110,2
111,14
112,3
113,10
114,31
115,3
116,26
117,2
118,1
119,17
120,13
121,7
122,4
123,5
124,1
125,10
126,10
127,18
128,1
129,4
130,36
131,5
132,14
133,13
134,11
135,10
136,18
137,40
138,2
139,38
140,41
141,3
142,41
143,26
144,17
145,4
146,2
147,32
148,11
149,11
150,5
151,24
152,11
153,23
154,17
155,3
156,6
157,9
158,4
159,1
160,13
161,16
162,4
163,28
164,26
165,9
166,13
167,1
168,22
169,17
170,13
171,42
172,26
173,18
174,33
175,2
176,4
177,40
178,13
179,2
180,8
181,2
182,35
183,11
184,28
185,11
186,30
187,4
188,10
189,4
190,10
191,26
192,12
193,38
194,31
195,2
196,5
197,6
198,11
199,11
200,17
201,9
202,4
203,1
204,2
205,9
206,4
207,31
208,13
209,15
210,15
211,38
212,25
213,8
214,25
215,13
216,10
217,8
218,4
219,10
220,2
221,4
222,8
223,1
224,14
225,12
226,12
227,5
228,4
229,35
230,25
231,13
232,33
233,30
234,33
235,4
236,12
237,4
238,5
239,18
240,12
241,13
242,11
243,1
244,10
245,40
246,5
247,4
248,38
249,38
250,4
251,14
252,5
253,35
254,35
255,23
256,42
257,13
258,1
259,15
260,35
261,14
262,18
263,31
264,1
265,13
266,5
267,25
268,5
269,18
270,11
271,25
272,35
273,4
274,11
275,25
276,35
277,39
278,31
279,2
280,3
281,38
282,31
283,26
284,1
285,1
286,33
287,4
288,17
289,13
290,2
291,31
292,13
293,35
294,4
295,1
296,39
297,28
298,35
299,26
300,12
301,4
302,4
303,14
304,2
305,3
306,32
307,2
308,3
309,38
310,18
311,11
312,38
313,38
314,2
315,6
316,2
317,40
318,17
319,5
320,8
321,4
322,4
323,6
324,31
325,35
326,9
327,38
328,5
329,2
330,4
331,22
332,4
333,25
334,10
335,4
336,4
337,35
338,3
339,11
340,10
341,26
342,9
343,4
344,38
345,38
346,18
347,7
348,13
349,11
350,17
351,4
352,16
353,14
354,12
355,40
356,35
357,4
358,38
359,10
360,9
361,4
362,13
363,38
364,3
365,20
366,7
367,4
368,4
369,13
370,10
371,26
372,4
373,8
374,26
375,4
376,41
377,13
378,2
379,26
380,4
381,13
382,38
383,4
384,35
385,25
386,34
387,12
388,17
389,4
390,4
391,39
392,31
393,1
394,4
395,4
396,4
397,38
398,4
399,12
400,38
401,36
402,10
403,4
404,38
405,38
406,5
407,23
408,8
409,2
410,25
411,14
412,2
413,26
414,31
415,10
416,10
417,14
418,4
419,5
420,3
421,2
422,31
423,3
424,10
425,13
426,13
427,22
428,38
429,34
430,11
431,13
432,35
433,35
434,32
435,6
436,10
437,10
438,5
439,3
440,22
441,17
442,4
443,28
444,25
445,1
446,4
447,40
448,38
449,5
450,9
451,10
452,2
453,40
454,4
455,38
456,14
457,5
458,39
459,4
460,35
461,25
462,25
463,17
464,2
465,38
466,4
467,13
468,14
469,4
470,4
471,35
472,4
473,1
474,35
475,18
476,40
477,38
478,25
479,13
480,33
481,2
482,35
483,6
484,2
485,10
486,12
487,31
488,9
489,17
490,2
491,26
492,2
493,2
494,10
495,2
496,31
497,9
498,31
499,40
500,22
501,28
502,10
503,4
504,11
505,4
506,32
507,6
508,4
509,18
510,5
511,2
512,18
513,23
514,38
515,35
516,5
517,4
518,5
519,4
520,18
521,26
522,31
523,17
524,11
525,13
526,4
527,8
528,30
529,4
530,13
531,15
532,20
533,1
534,12
535,18
536,38
537,4
538,10
539,35
540,5
541,6
542,5
543,12
544,4
545,4
546,1
547,1
548,12
549,12
550,2
551,5
552,9
553,13
554,38
555,4
556,13
557,8
558,13
559,24
560,17
561,10
562,10
563,18
564,12
565,25
566,10
567,10
568,2
569,23
570,10
571,5
572,32
573,42
574,13
575,39
576,2
577,2
578,13
579,2
580,17
581,10
582,4
583,2
584,35
585,10
586,4
587,11
588,5
589,2
590,35
591,13
592,16
593,17
594,11
595,4
596,4
597,31
598,2
599,26
600,13
601,11
602,2
603,4
604,2
605,9
606,5
607,38
608,11
609,4
610,11
611,41
612,1
613,26
614,11
615,10
616,25
617,1
618,10
619,38
620,11
621,17
622,1
623,12
624,5
625,13
626,11
627,4
628,2
629,17
630,5
631,35
632,11
633,4
634,4
635,7
636,16
637,2
638,17
639,9
640,7
641,9
642,17
643,11
644,4
645,13
646,12
647,8
648,1
649,2
650,32
651,17
652,13
653,5
654,12
655,11
656,31
657,13
658,13
659,10
660,10
661,13
662,2
663,4
664,13
665,10
666,10
667,13
668,11
669,4
670,9
671,10
672,36
673,35
674,26
675,1
676,11
677,12
678,23
679,5
680,13
681,2
682,35
683,32
684,38
685,35
686,14
687,25
688,17
689,38
690,5
691,4
692,4
693,13
694,26
695,5
696,4
697,5
698,2
699,1
700,3
701,4
702,39
703,12
704,5
705,16
706,12
707,12
708,18
709,16
710,8
711,36
712,11
713,39
714,4
715,6
716,4
717,36
718,1
719,2
720,10
721,13
722,5
723,25
724,38
725,13
726,17
727,11
728,11
729,35
730,25
731,4
732,14
733,35
734,15
735,38
736,39
737,38
738,4
739,4
740,4
741,5
742,35
743,17
744,4
745,38
746,4
747,2
748,5
749,28
750,10
751,11
752,9
753,28
754,22
755,42
756,2
757,12
758,7
759,31
760,4
761,13
762,10
763,1
764,2
765,4
766,1
767,8
768,8
769,3
770,10
771,4
772,13
773,25
774,2
775,4
776,15
777,9
778,1
779,33
780,4
781,38
782,12
783,38
784,8
785,10
786,2
787,10
788,4
789,42
790,15
791,5
792,1
793,4
794,2
795,42
796,15
797,15
798,4
799,15
800,40
801,25
802,8
803,5
804,38
805,1
806,26
807,1
808,17
809,2
810,26
811,31
812,4
813,41
814,2
815,2
816,11
817,8
818,2
819,2
820,1
821,17
822,3
823,4
824,25
825,4
826,9
827,4
828,38
829,11
830,39
831,5
832,1
833,18
834,25
835,11
836,10
837,10
838,15
839,20
840,12
841,10
842,13
843,13
844,25
845,4
846,1
847,38
848,12
849,23
850,10
851,8
852,4
853,23
854,24
855,10
856,1
857,28
858,4
859,25
860,13
861,6
862,9
863,5
864,2
865,33
866,4
867,4
868,25
869,9
870,6
871,38
872,10
873,11
874,4
875,4
876,8
877,2
878,7
879,20
880,1
881,2
882,10
883,28
884,35
885,25
886,39
887,1
888,12
889,2
890,13
891,13
892,33
893,17
