# experiment: CNN Data Augmentation Momentum
image_index,predicted_class
0,5
1,1
2,38
3,38
4,11
5,38
6,18
7,12
8,11
9,35
10,12
11,4
12,8
13,5
14,2
15,9
16,11
17,11
18,11
19,38
20,4
21,34
22,5
23,31
24,2
25,11
26,13
27,10
28,10
29,11
30,5
31,17
32,34
33,8
34,2
35,17
36,5
37,12
38,5
39,8
40,10
41,8
42,18
43,12
44,25
45,11
46,5
47,10
48,30
49,5
50,4
51,13
52,4
53,9
54,13
55,38
56,5
57,11
58,2
59,5
60,38
61,10
62,4
63,8
64,4
65,9
66,26
67,5
68,4
69,11
70,11
71,8
72,8
73,34
74,5
75,12
76,5
77,5
78,11
79,1
80,11
81,35
82,8
83,5
84,10
85,38
86,5
87,5
88,26
89,13
90,10
91,4
92,1
93,14
94,12
95,4
96,3
97,3
98,5
99,35
100,1
101,10
102,8
103,11
104,35
105,4
106,38
107,25
108,38
109,8
110,2
111,14
112,5
113,9
114,8
115,5
116,31
117,2
118,1
119,4
120,13
121,5
122,2
123,5
124,1
125,10
126,10
127,8
128,1
129,8
130,36
131,30
132,1
133,13
134,18
135,10
136,11
137,34
138,2
139,38
140,4
141,3
142,2
143,26
144,17
145,4
146,2
147,4
148,25
149,11
150,5
151,25
152,11
153,11
154,17
155,3
156,8
157,9
158,4
159,10
160,13
161,5
162,2
163,6
164,26
165,9
166,13
167,1
168,22
169,17
170,13
171,38
172,11
173,25
174,34
175,1
176,5
177,34
178,13
179,2
180,4
181,2
182,35
183,25
184,11
185,11
186,30
187,4
188,10
189,8
190,10
191,18
192,12
193,38
194,31
195,2
196,5
197,4
198,11
199,11
200,17
201,9
202,8
203,2
204,2
205,2
206,2
207,8
208,13
209,9
210,9
211,12
212,25
213,4
214,8
215,13
216,10
217,4
218,2
219,10
220,2
221,5
222,4
223,2
224,14
225,12
226,12
227,5
228,5
229,1
230,25
231,13
232,38
233,30
234,33
235,8
236,12
237,10
238,5
239,8
240,12
241,13
242,11
243,1
244,8
245,34
246,18
247,8
248,13
249,38
250,25
251,14
252,8
253,38
254,35
255,11
256,4
257,13
258,25
259,15
260,38
261,14
262,8
263,28
264,1
265,13
266,31
267,25
268,5
269,31
270,18
271,25
272,38
273,10
274,25
275,5
276,34
277,38
278,31
279,2
280,3
281,38
282,8
283,26
284,1
285,1
286,35
287,10
288,17
289,13
290,3
291,31
292,13
293,38
294,8
295,1
296,40
297,11
298,35
299,26
300,12
301,5
302,4
303,14
304,2
305,30
306,41
307,2
308,5
309,38
310,8
311,11
312,38
313,38
314,1
315,6
316,1
317,34
318,2
319,3
320,5
321,4
322,8
323,8
324,31
325,35
326,10
327,38
328,5
329,2
330,5
331,18
332,5
333,11
334,10
335,4
336,5
337,34
338,3
339,11
340,10
341,18
342,2
343,2
344,38
345,38
346,18
347,5
348,13
349,11
350,17
351,4
352,5
353,14
354,12
355,35
356,35
357,5
358,38
359,10
360,9
361,6
362,13
363,8
364,5
365,25
366,4
367,5
368,8
369,13
370,10
371,26
372,8
373,5
374,25
375,2
376,2
377,13
378,2
379,5
380,8
381,13
382,38
383,8
384,38
385,11
386,34
387,12
388,17
389,2
390,4
391,38
392,26
393,10
394,1
395,8
396,4
397,38
398,8
399,12
400,38
401,36
402,10
403,4
404,38
405,38
406,2
407,11
408,4
409,2
410,25
411,14
412,2
413,26
414,31
415,10
416,10
417,14
418,8
419,5
420,5
421,1
422,31
423,3
424,5
425,13
426,13
427,25
428,38
429,34
430,11
431,13
432,34
433,34
434,12
435,2
436,3
437,10
438,5
439,3
440,26
441,17
442,4
443,25
444,25
445,1
446,5
447,38
448,38
449,5
450,9
451,10
452,2
453,34
454,2
455,38
456,14
457,5
458,40
459,4
460,38
461,11
462,25
463,17
464,2
465,38
466,4
467,13
468,14
469,8
470,5
471,38
472,8
473,1
474,38
475,18
476,38
477,1
478,25
479,13
480,33
481,5
482,38
483,8
484,2
485,10
486,13
487,31
488,10
489,17
490,2
491,26
492,1
493,2
494,10
495,1
496,8
497,9
498,8
499,34
500,25
501,25
502,9
503,10
504,11
505,8
506,4
507,4
508,2
509,8
510,5
511,2
512,25
513,11
514,38
515,38
516,5
517,4
518,5
519,8
520,26
521,26
522,31
523,14
524,11
525,13
526,5
527,4
528,30
529,8
530,13
531,9
532,30
533,5
534,12
535,8
536,38
537,4
538,5
539,35
540,5
541,8
542,5
543,12
544,8
545,5
546,2
547,1
548,12
549,12
550,2
551,5
552,9
553,13
554,38
555,8
556,13
557,4
558,13
559,5
560,17
561,10
562,10
563,8
564,12
565,4
566,5
567,30
568,2
569,11
570,10
571,2
572,2
573,6
574,13
575,38
576,2
577,2
578,13
579,1
580,17
581,10
582,5
583,2
584,35
585,10
586,10
587,8
588,2
589,2
590,38
591,13
592,1
593,17
594,11
595,5
596,4
597,25
598,2
599,26
600,15
601,18
602,2
603,8
604,2
605,9
606,5
607,38
608,11
609,10
610,11
611,2
612,1
613,18
614,11
615,10
616,25
617,1
618,10
619,38
620,8
621,14
622,1
623,12
624,5
625,13
626,11
627,5
628,4
629,17
630,5
631,35
632,11
633,8
634,8
635,4
636,5
637,2
638,17
639,9
640,5
641,8
642,2
643,11
644,5
645,13
646,12
647,8
648,1
649,1
650,6
651,17
652,13
653,5
654,12
655,11
656,26
657,13
658,13
659,10
660,10
661,12
662,2
663,8
664,13
665,10
666,10
667,1
668,11
669,2
670,4
671,10
672,38
673,35
674,26
675,4
676,25
677,18
678,22
679,5
680,13
681,1
682,38
683,12
684,38
685,35
686,14
687,25
688,2
689,34
690,2
691,5
692,4
693,13
694,26
695,3
696,5
697,5
698,5
699,2
700,3
701,4
702,38
703,12
704,5
705,2
706,12
707,12
708,18
709,2
710,5
711,36
712,11
713,38
714,4
715,4
716,5
717,36
718,1
719,2
720,10
721,13
722,5
723,8
724,38
725,13
726,10
727,11
728,11
729,38
730,25
731,5
732,14
733,33
734,2
735,38
736,35
737,38
738,4
739,5
740,8
741,5
742,35
743,17
744,8
745,13
746,4
747,2
748,4
749,22
750,10
751,25
752,9
753,11
754,31
755,4
756,2
757,12
758,2
759,31
760,8
761,13
762,5
763,1
764,35
765,8
766,1
767,4
768,4
769,3
770,10
771,4
772,13
773,26
774,5
775,8
776,9
777,4
778,2
779,34
780,2
781,8
782,12
783,38
784,4
785,10
786,2
787,10
788,4
789,38
790,15
791,5
792,1
793,10
794,5
795,12
796,15
797,9
798,4
799,9
800,38
801,25
802,5
803,2
804,13
805,10
806,25
807,4
808,17
809,1
810,11
811,31
812,4
813,13
814,2
815,2
816,11
817,8
818,1
819,2
820,10
821,17
822,3
823,8
824,25
825,4
826,4
827,5
828,38
829,11
830,38
831,7
832,5
833,8
834,25
835,11
836,8
837,5
838,9
839,25
840,12
841,10
842,13
843,13
844,25
845,2
846,1
847,38
848,12
849,11
850,10
851,4
852,1
853,18
854,25
855,10
856,2
857,11
858,5
859,11
860,12
861,4
862,9
863,5
864,1
865,34
866,4
867,10
868,25
869,2
870,6
871,38
872,9
873,18
874,4
875,5
876,4
877,2
878,4
879,30
880,1
881,2
882,10
883,25
884,35
885,25
886,38
887,1
888,12
889,2
890,13
891,38
892,38
893,17
894,35
895,5
896,9
897,8
898,38
899,1
900,11
901,11
902,38
903,8
904,11
905,8
906,13
907,11
908,5
909,40
910,4
911,13
912,11
913,4
914,18
915,13
916,13
917,5
918,38
919,10
920,12
921,11
922,2
923,2
924,8
925,5
926,9
927,2
928,10
929,17
930,38
931,8
932,4
933,38
934,2
935,11
936,8
937,8
938,4
939,13
940,4
941,18
942,38
943,4
944,38
945,5
946,13
947,5
