# experiment: CNN Data Augmentation SGD
image_index,predicted_class
0,1
1,2
2,38
3,1
4,10
5,38
6,1
7,4
8,2
9,38
10,12
11,4
12,10
13,1
14,2
15,10
16,11
17,7
18,2
19,38
20,10
21,38
22,10
23,3
24,2
25,1
26,1
27,10
28,2
29,1
30,4
31,17
32,38
33,10
34,2
35,17
36,4
37,38
38,35
39,10
40,5
41,10
42,1
43,10
44,2
45,2
46,1
47,10
48,12
49,10
50,38
51,1
52,4
53,1
54,10
55,2
56,10
57,11
58,1
59,10
60,38
61,10
62,4
63,10
64,10
65,2
66,10
67,10
68,4
69,13
70,2
71,10
72,10
73,38
74,10
75,38
76,1
77,1
78,1
79,1
80,11
81,35
82,10
83,35
84,10
85,38
86,10
87,12
88,10
89,2
90,10
91,2
92,2
93,2
94,10
95,4
96,13
97,10
98,5
99,35
100,1
101,10
102,10
103,10
104,35
105,2
106,38
107,25
108,35
109,10
110,2
111,2
112,5
113,1
114,10
115,2
116,10
117,2
118,2
119,13
120,13
121,10
122,2
123,5
124,2
125,38
126,12
127,10
128,1
129,10
130,38
131,12
132,13
133,1
134,1
135,10
136,4
137,38
138,2
139,38
140,4
141,13
142,1
143,10
144,14
145,10
146,1
147,4
148,18
149,11
150,3
151,5
152,10
153,2
154,14
155,13
156,10
157,2
158,4
159,10
160,2
161,1
162,2
163,10
164,10
165,4
166,13
167,1
168,2
169,17
170,2
171,35
172,11
173,12
174,35
175,13
176,5
177,38
178,13
179,2
180,4
181,2
182,38
183,2
184,7
185,2
186,38
187,2
188,5
189,10
190,10
191,2
192,10
193,38
194,10
195,2
196,1
197,4
198,11
199,2
200,14
201,10
202,10
203,2
204,17
205,10
206,1
207,10
208,13
209,2
210,1
211,10
212,1
213,2
214,10
215,10
216,10
217,2
218,2
219,5
220,2
221,10
222,4
223,1
224,14
225,13
226,10
227,2
228,10
229,38
230,11
231,1
232,2
233,38
234,35
235,10
236,12
237,10
238,3
239,10
240,1
241,13
242,7
243,2
244,10
245,35
246,18
247,10
248,12
249,35
250,10
251,2
252,4
253,38
254,35
255,1
256,2
257,13
258,2
259,35
260,38
261,14
262,10
263,2
264,38
265,38
266,11
267,1
268,10
269,10
270,2
271,12
272,38
273,10
274,1
275,5
276,35
277,35
278,10
279,2
280,12
281,10
282,10
283,10
284,1
285,13
286,35
287,10
288,14
289,13
290,1
291,1
292,13
293,38
294,10
295,1
296,38
297,11
298,35
299,11
300,12
301,10
302,10
303,14
304,2
305,12
306,2
307,2
308,1
309,13
310,10
311,2
312,38
313,38
314,1
315,10
316,2
317,38
318,2
319,35
320,10
321,10
322,10
323,10
324,2
325,38
326,10
327,38
328,38
329,1
330,5
331,1
332,10
333,2
334,2
335,10
336,10
337,35
338,13
339,11
340,10
341,11
342,2
343,2
344,38
345,38
346,1
347,13
348,13
349,11
350,17
351,4
352,1
353,2
354,4
355,38
356,35
357,5
358,38
359,10
360,2
361,10
362,10
363,10
364,10
365,12
366,2
367,10
368,10
369,10
370,10
371,10
372,10
373,7
374,10
375,13
376,4
377,13
378,1
379,10
380,10
381,1
382,38
383,10
384,38
385,11
386,35
387,10
388,17
389,2
390,4
391,38
392,10
393,10
394,13
395,10
396,10
397,38
398,10
399,12
400,10
401,38
402,5
403,2
404,38
405,38
406,2
407,11
408,4
409,2
410,11
411,13
412,2
413,2
414,10
415,10
416,10
417,2
418,10
419,10
420,4
421,12
422,11
423,3
424,3
425,13
426,13
427,2
428,38
429,38
430,11
431,13
432,35
433,38
434,4
435,1
436,3
437,10
438,5
439,13
440,10
441,14
442,4
443,18
444,11
445,1
446,5
447,2
448,38
449,5
450,4
451,10
452,4
453,35
454,2
455,2
456,2
457,5
458,38
459,10
460,38
461,1
462,1
463,17
464,2
465,38
466,4
467,13
468,14
469,4
470,38
471,38
472,10
473,2
474,38
475,35
476,38
477,12
478,4
479,1
480,35
481,4
482,2
483,10
484,2
485,10
486,12
487,11
488,10
489,10
490,2
491,10
492,12
493,1
494,10
495,1
496,10
497,4
498,10
499,38
500,11
501,18
502,11
503,10
504,1
505,10
506,2
507,10
508,4
509,10
510,5
511,2
512,12
513,11
514,38
515,1
516,1
517,2
518,1
519,10
520,10
521,11
522,11
523,14
524,2
525,4
526,10
527,2
528,5
529,10
530,35
531,1
532,12
533,1
534,10
535,10
536,38
537,10
538,12
539,35
540,13
541,10
542,2
543,2
544,10
545,10
546,1
547,1
548,12
549,13
550,2
551,4
552,10
553,13
554,4
555,10
556,10
557,4
558,2
559,10
560,13
561,10
562,10
563,10
564,38
565,10
566,3
567,12
568,10
569,4
570,10
571,1
572,2
573,2
574,10
575,38
576,2
577,2
578,38
579,1
580,13
581,10
582,4
583,2
584,38
585,10
586,10
587,10
588,2
589,2
590,38
591,1
592,1
593,14
594,1
595,1
596,10
597,2
598,2
599,5
600,13
601,2
602,2
603,10
604,2
605,2
606,1
607,38
608,11
609,10
610,2
611,4
612,1
613,11
614,11
615,10
616,1
617,1
618,10
619,38
620,10
621,14
622,1
623,12
624,12
625,13
626,11
627,10
628,4
629,1
630,12
631,35
632,4
633,10
634,10
635,1
636,5
637,2
638,17
639,10
640,10
641,10
642,2
643,11
644,10
645,13
646,12
647,10
648,1
649,1
650,10
651,17
652,1
653,1
654,2
655,11
656,2
657,13
658,2
659,2
660,10
661,38
662,1
663,10
664,13
665,10
666,10
667,35
668,1
669,2
670,2
671,10
672,38
673,38
674,10
675,4
676,11
677,12
678,2
679,1
680,1
681,1
682,38
683,4
684,38
685,35
686,14
687,10
688,2
689,38
690,2
691,10
692,2
693,1
694,2
695,3
696,10
697,3
698,2
699,1
700,35
701,4
702,38
703,10
704,2
705,1
706,10
707,12
708,11
709,1
710,10
711,38
712,1
713,35
714,2
715,10
716,4
717,38
718,1
719,2
720,10
721,13
722,1
723,10
724,38
725,13
726,10
727,1
728,11
729,38
730,2
731,10
732,2
733,38
734,12
735,38
736,35
737,38
738,10
739,10
740,10
741,10
742,35
743,17
744,10
745,12
746,2
747,2
748,38
749,18
750,10
751,1
752,10
753,11
754,4
755,10
756,2
757,12
758,2
759,10
760,10
761,13
762,38
763,2
764,35
765,10
766,1
767,2
768,38
769,3
770,4
771,10
772,10
773,13
774,2
775,10
776,13
777,2
778,2
779,35
780,2
781,10
782,12
783,38
784,1
785,10
786,4
787,5
788,4
789,35
790,13
791,1
792,1
793,10
794,10
795,10
796,1
797,13
798,4
799,1
800,2
801,11
802,10
803,2
804,12
805,10
806,10
807,2
808,17
809,1
810,11
811,10
812,4
813,38
814,17
815,2
816,12
817,10
818,1
819,2
820,10
821,17
822,35
823,5
824,2
825,10
826,2
827,10
828,38
829,11
830,38
831,38
832,1
833,10
834,1
835,1
836,10
837,1
838,4
839,12
840,12
841,10
842,1
843,1
844,2
845,1
846,1
847,38
848,2
849,3
850,10
851,2
852,1
853,2
854,1
855,10
856,1
857,10
858,10
859,1
860,12
861,10
862,4
863,10
864,2
865,38
866,10
867,10
868,2
869,2
870,10
871,38
872,1
873,1
874,10
875,10
876,2
877,2
878,4
879,12
880,1
881,1
882,10
883,18
884,35
885,8
886,38
887,1
888,12
889,2
890,4
891,38
892,35
893,17
894,38
895,1
896,2
897,10
898,38
899,1
900,11
901,11
902,2
903,10
904,11
905,4
906,1
907,11
908,10
909,35
910,2
911,4
912,11
913,4
914,35
915,1
916,13
917,5
918,38
919,10
920,2
921,4
922,2
923,2
924,10
925,5
926,4
927,2
928,10
929,17
930,38
931,10
932,4
933,38
934,2
935,2
936,10
937,10
938,10
939,12
940,2
941,11
942,38
943,2
944,38
945,1
946,13
947,1
948,38
949,10
950,1
951,10
952,13
953,1
954,1
955,2
956,10
957,2
