# experiment: CNN BatchNorm SGD
image_index,predicted_class
0,12
1,1
2,38
3,2
4,11
5,38
6,18
7,12
8,25
9,38
10,12
11,4
12,10
13,3
14,2
15,4
16,2
17,4
18,11
19,38
20,10
21,38
22,10
23,10
24,1
25,11
26,13
27,10
28,9
29,12
30,1
31,17
32,35
33,10
34,1
35,17
36,5
37,12
38,12
39,10
40,10
41,10
42,18
43,10
44,25
45,1
46,4
47,5
48,10
49,5
50,10
51,13
52,4
53,4
54,13
55,35
56,10
57,11
58,9
59,10
60,38
61,10
62,4
63,10
64,5
65,9
66,10
67,10
68,2
69,2
70,11
71,10
72,10
73,38
74,5
75,12
76,4
77,5
78,1
79,1
80,11
81,38
82,10
83,3
84,10
85,38
86,3
87,12
88,10
89,13
90,10
91,2
92,1
93,3
94,12
95,12
96,3
97,13
98,10
99,38
100,1
101,10
102,10
103,10
104,38
105,1
106,38
107,25
108,35
109,10
110,2
111,14
112,10
113,1
114,10
115,2
116,4
117,1
118,1
119,12
120,13
121,5
122,2
123,5
124,1
125,5
126,5
127,10
128,2
129,10
130,35
131,12
132,1
133,13
134,11
135,10
136,18
137,38
138,2
139,38
140,12
141,3
142,12
143,10
144,17
145,10
146,1
147,4
148,11
149,11
150,3
151,38
152,10
153,11
154,17
155,3
156,10
157,4
158,10
159,10
160,13
161,7
162,1
163,10
164,10
165,9
166,13
167,14
168,18
169,17
170,13
171,38
172,11
173,12
174,35
175,1
176,5
177,38
178,13
179,4
180,4
181,2
182,38
183,9
184,11
185,25
186,10
187,4
188,10
189,10
190,10
191,18
192,12
193,38
194,10
195,2
196,5
197,12
198,1
199,18
200,17
201,10
202,10
203,4
204,17
205,10
206,4
207,10
208,13
209,9
210,1
211,10
212,25
213,2
214,10
215,13
216,4
217,1
218,1
219,10
220,1
221,10
222,2
223,2
224,14
225,12
226,12
227,2
228,10
229,38
230,25
231,13
232,38
233,10
234,38
235,10
236,12
237,10
238,5
239,10
240,12
241,13
242,11
243,1
244,10
245,38
246,12
247,10
248,12
249,38
250,10
251,14
252,4
253,38
254,35
255,11
256,35
257,13
258,25
259,25
260,38
261,14
262,10
263,18
264,2
265,12
266,1
267,25
268,10
269,10
270,11
271,12
272,38
273,10
274,25
275,12
276,35
277,38
278,10
279,2
280,3
281,10
282,10
283,10
284,1
285,1
286,38
287,10
288,14
289,13
290,1
291,1
292,13
293,38
294,10
295,1
296,38
297,11
298,35
299,11
300,12
301,10
302,10
303,14
304,2
305,12
306,12
307,1
308,3
309,38
310,10
311,11
312,38
313,38
314,2
315,10
316,1
317,38
318,17
319,3
320,10
321,10
322,10
323,10
324,1
325,38
326,10
327,38
328,5
329,2
330,10
331,18
332,10
333,25
334,10
335,10
336,10
337,35
338,3
339,25
340,10
341,18
342,2
343,2
344,38
345,38
346,18
347,3
348,13
349,18
350,17
351,5
352,12
353,14
354,12
355,38
356,35
357,10
358,38
359,10
360,2
361,10
362,13
363,10
364,4
365,25
366,1
367,10
368,10
369,13
370,10
371,10
372,10
373,1
374,13
375,2
376,12
377,13
378,1
379,10
380,10
381,13
382,38
383,10
384,38
385,25
386,35
387,10
388,17
389,2
390,4
391,38
392,10
393,10
394,1
395,10
396,10
397,38
398,10
399,12
400,10
401,38
402,10
403,4
404,38
405,38
406,4
407,25
408,2
409,2
410,11
411,14
412,1
413,11
414,25
415,10
416,10
417,17
418,10
419,4
420,5
421,12
422,11
423,3
424,3
425,13
426,13
427,11
428,38
429,38
430,11
431,13
432,35
433,35
434,12
435,12
436,3
437,10
438,5
439,3
440,10
441,17
442,4
443,18
444,25
445,1
446,10
447,38
448,38
449,10
450,4
451,10
452,2
453,38
454,4
455,35
456,14
457,5
458,35
459,10
460,38
461,11
462,25
463,17
464,1
465,38
466,5
467,13
468,14
469,10
470,10
471,38
472,10
473,1
474,38
475,12
476,38
477,38
478,38
479,13
480,38
481,4
482,35
483,10
484,2
485,10
486,12
487,10
488,10
489,4
490,2
491,5
492,12
493,3
494,10
495,12
496,10
497,4
498,10
499,38
500,25
501,18
502,10
503,10
504,13
505,10
506,12
507,10
508,1
509,10
510,5
511,4
512,25
513,25
514,38
515,38
516,1
517,2
518,4
519,10
520,10
521,26
522,11
523,17
524,11
525,13
526,4
527,2
528,10
529,10
530,13
531,9
532,12
533,1
534,10
535,10
536,38
537,10
538,10
539,35
540,5
541,10
542,5
543,12
544,10
545,10
546,1
547,1
548,12
549,12
550,2
551,4
552,10
553,13
554,38
555,10
556,13
557,4
558,13
559,11
560,14
561,10
562,5
563,10
564,12
565,10
566,5
567,12
568,4
569,25
570,10
571,4
572,12
573,12
574,13
575,38
576,4
577,1
578,5
579,1
580,17
581,10
582,10
583,2
584,38
585,10
586,10
587,10
588,2
589,1
590,38
591,13
592,1
593,17
594,11
595,1
596,10
597,25
598,2
599,10
600,13
601,11
602,9
603,10
604,4
605,9
606,3
607,38
608,11
609,10
610,11
611,10
612,1
613,18
614,11
615,10
616,25
617,1
618,10
619,38
620,10
621,14
622,1
623,12
624,3
625,13
626,11
627,10
628,4
629,14
630,5
631,35
632,10
633,10
634,10
635,2
636,4
637,1
638,17
639,10
640,10
641,10
642,17
643,11
644,10
645,13
646,12
647,10
648,1
649,1
650,10
651,17
652,13
653,1
654,1
655,11
656,1
657,13
658,13
659,4
660,10
661,5
662,2
663,10
664,13
665,10
666,10
667,12
668,18
669,2
670,9
671,10
672,38
673,38
674,10
675,4
676,25
677,12
678,1
679,4
680,13
681,14
682,38
683,12
684,38
685,35
686,14
687,10
688,17
689,38
690,1
691,10
692,4
693,13
694,25
695,5
696,4
697,3
698,1
699,1
700,3
701,4
702,35
703,10
704,1
705,1
706,10
707,12
708,18
709,1
710,10
711,38
712,11
713,38
714,1
715,10
716,4
717,38
718,1
719,1
720,10
721,13
722,2
723,10
724,38
725,13
726,10
727,11
728,11
729,38
730,2
731,3
732,14
733,38
734,13
735,38
736,35
737,38
738,10
739,10
740,10
741,4
742,35
743,17
744,10
745,13
746,2
747,2
748,38
749,18
750,10
751,11
752,4
753,11
754,25
755,10
756,2
757,12
758,4
759,10
760,10
761,13
762,5
763,1
764,12
765,10
766,2
767,2
768,7
769,3
770,4
771,4
772,10
773,13
774,1
775,10
776,9
777,2
778,2
779,38
780,2
781,10
782,12
783,38
784,2
785,10
786,13
787,10
788,4
789,12
790,13
791,2
792,1
793,10
794,3
795,10
796,1
797,1
798,4
799,9
800,12
801,25
802,10
803,1
804,12
805,3
806,10
807,1
808,17
809,2
810,26
811,10
812,4
813,13
814,17
815,1
816,25
817,10
818,1
819,2
820,10
821,3
822,3
823,10
824,25
825,10
826,9
827,10
828,38
829,25
830,38
831,12
832,1
833,10
834,25
835,11
836,10
837,3
838,4
839,25
840,12
841,10
842,13
843,13
844,25
845,10
846,1
847,38
848,12
849,25
850,10
851,2
852,2
853,18
854,5
855,10
856,1
857,25
858,10
859,11
860,5
861,10
862,4
863,10
864,1
865,38
866,4
867,10
868,25
869,1
870,10
871,38
872,1
873,25
874,10
875,10
876,4
877,4
878,4
879,12
880,1
881,1
882,10
883,18
884,35
885,10
886,38
887,1
888,12
889,1
890,13
891,5
892,35
893,17
894,38
895,4
896,2
897,10
898,38
899,12
900,11
901,11
902,38
903,10
904,11
905,10
906,13
907,11
908,10
909,38
910,2
911,13
912,25
913,13
914,12
915,13
916,13
917,38
918,38
919,10
920,12
921,10
922,2
923,1
924,10
925,5
926,9
927,1
928,10
929,17
930,38
931,10
932,5
933,38
934,2
935,25
936,10
937,10
938,10
939,12
940,12
941,18
942,38
943,2
944,38
945,5
946,13
947,4
948,38
949,10
950,1
951,10
952,13
953,13
954,12
955,1
956,10
957,38
958,10
959,5
960,10
961,1
962,12
963,14
964,3
965,2
966,12
967,10
968,2
969,13
970,13
971,10
972,13
973,5
974,10
975,5
976,11
977,10
978,35
979,10
980,13
981,5
982,12
983,1
984,17
985,10
986,4
987,10
988,10
989,35
990,4
991,11
992,10
993,38
994,38
995,38
996,25
997,38
998,9
999,12
1000,17
1001,1
1002,12
1003,12
1004,10
1005,10
1006,38
1007,1
1008,12
1009,12
1010,5
1011,10
1012,10
1013,10
1014,12
1015,35
1016,12
1017,10
1018,38
1019,4
1020,3
1021,2
1022,11
1023,38
1024,12
1025,10
1026,11
1027,3
1028,12
1029,1
1030,10
1031,5
1032,11
1033,12
1034,12
1035,10
1036,10
1037,2
1038,38
1039,5
1040,12
1041,10
1042,12
1043,5
1044,10
1045,10
1046,1
1047,11
1048,17
1049,38
1050,10
1051,5
1052,10
1053,35
1054,38
1055,11
1056,11
1057,38
1058,10
1059,12
1060,10
1061,12
1062,13
1063,13
1064,10
1065,3
1066,10
1067,10
1068,4
1069,10
1070,2
1071,2
1072,10
1073,10
1074,14
1075,10
1076,10
1077,4
1078,12
1079,1
1080,5
1081,10
1082,13
1083,10
1084,10
1085,5
1086,12
1087,10
1088,4
1089,1
1090,1
1091,38
1092,1
1093,11
1094,10
1095,38
1096,10
1097,9
1098,10
1099,5
1100,35
1101,1
1102,1
1103,25
1104,10
1105,4
1106,5
1107,3
1108,38
1109,13
1110,35
1111,10
1112,10
