# experiment: CNN Momentum
image_index,predicted_class
0,16
1,2
2,38
3,25
4,11
5,38
6,18
7,12
8,2
9,35
10,5
11,5
12,3
13,3
14,2
15,9
16,2
17,25
18,11
19,38
20,3
21,35
22,3
23,11
24,2
25,11
26,15
27,10
28,9
29,11
30,2
31,17
32,38
33,3
34,2
35,17
36,5
37,3
38,35
39,38
40,10
41,25
42,18
43,12
44,25
45,25
46,5
47,10
48,30
49,25
50,38
51,13
52,9
53,9
54,13
55,41
56,3
57,11
58,9
59,5
60,38
61,3
62,2
63,3
64,5
65,9
66,26
67,3
68,2
69,20
70,11
71,25
72,25
73,35
74,3
75,11
76,2
77,3
78,25
79,25
80,31
81,33
82,25
83,3
84,10
85,38
86,3
87,3
88,25
89,13
90,25
91,2
92,2
93,3
94,12
95,12
96,3
97,3
98,5
99,35
100,2
101,5
102,3
103,25
104,35
105,2
106,38
107,3
108,33
109,3
110,2
111,14
112,5
113,10
114,38
115,5
116,26
117,13
118,2
119,12
120,13
121,3
122,2
123,5
124,1
125,10
126,3
127,38
128,1
129,12
130,36
131,35
132,14
133,13
134,12
135,10
136,18
137,38
138,2
139,38
140,41
141,5
142,12
143,25
144,17
145,38
146,2
147,9
148,11
149,31
150,5
151,25
152,11
153,25
154,17
155,5
156,38
157,9
158,5
159,3
160,13
161,35
162,5
163,12
164,25
165,9
166,13
167,13
168,25
169,17
170,13
171,38
172,18
173,25
174,33
175,1
176,5
177,38
178,13
179,2
180,5
181,2
182,36
183,25
184,31
185,25
186,30
187,2
188,25
189,3
190,38
191,2
192,12
193,38
194,31
195,2
196,3
197,12
198,2
199,13
200,17
201,9
202,3
203,2
204,17
205,3
206,2
207,38
208,13
209,9
210,9
211,38
212,25
213,2
214,25
215,13
216,10
217,2
218,2
219,5
220,2
221,3
222,5
223,2
224,14
225,11
226,12
227,5
228,3
229,37
230,25
231,13
232,13
233,30
234,33
235,25
236,30
237,38
238,5
239,25
240,12
241,13
242,25
243,1
244,38
245,38
246,0
247,38
248,12
249,38
250,3
251,14
252,5
253,35
254,38
255,11
256,41
257,13
258,25
259,3
260,38
261,14
262,25
263,25
264,5
265,12
266,5
267,25
268,3
269,31
270,11
271,38
272,38
273,3
274,25
275,12
276,38
277,40
278,31
279,2
280,3
281,38
282,38
283,12
284,1
285,1
286,35
287,12
288,17
289,13
290,2
291,31
292,13
293,38
294,3
295,1
296,33
297,11
298,35
299,18
300,25
301,3
302,3
303,14
304,2
305,25
306,12
307,2
308,3
309,12
310,25
311,11
312,38
313,38
314,1
315,3
316,1
317,38
318,17
319,3
320,5
321,3
322,3
323,38
324,31
325,35
326,3
327,38
328,5
329,2
330,5
331,18
332,5
333,25
334,10
335,4
336,3
337,38
338,5
339,18
340,10
341,2
342,2
343,2
344,38
345,38
346,18
347,3
348,13
349,9
350,17
351,3
352,16
353,14
354,12
355,38
356,35
357,5
358,38
359,10
360,9
361,38
362,13
363,38
364,3
365,18
366,7
367,38
368,25
369,13
370,38
371,25
372,3
373,2
374,25
375,2
376,8
377,13
378,1
379,25
380,10
381,13
382,38
383,5
384,38
385,25
386,35
387,12
388,17
389,2
390,2
391,33
392,25
393,5
394,1
395,3
396,3
397,38
398,5
399,12
400,38
401,36
402,5
403,2
404,38
405,38
406,2
407,25
408,2
409,2
410,25
411,14
412,2
413,25
414,25
415,10
416,10
417,14
418,3
419,3
420,5
421,16
422,11
423,3
424,5
425,13
426,13
427,25
428,38
429,38
430,11
431,13
432,38
433,35
434,12
435,7
436,5
437,10
438,5
439,5
440,25
441,17
442,7
443,28
444,25
445,1
446,5
447,38
448,38
449,5
450,4
451,38
452,2
453,40
454,2
455,34
456,14
457,5
458,39
459,38
460,38
461,25
462,2
463,17
464,2
465,38
466,5
467,13
468,14
469,3
470,38
471,38
472,3
473,2
474,38
475,12
476,35
477,37
478,25
479,13
480,33
481,2
482,41
483,38
484,2
485,10
486,12
487,31
488,5
489,17
490,17
491,26
492,12
493,3
494,38
495,16
496,12
497,4
498,25
499,38
500,25
501,28
502,10
503,10
504,25
505,3
506,12
507,38
508,2
