# experiment: CNN SGD
image_index,predicted_class
0,1
1,1
2,1
3,1
4,12
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,10
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,12
21,1
22,12
23,1
24,1
25,1
26,1
27,12
28,1
29,1
30,1
31,1
32,1
33,10
34,1
35,1
36,1
37,1
38,1
39,12
40,12
41,12
42,1
43,12
44,1
45,1
46,1
47,12
48,12
49,12
50,12
51,1
52,1
53,1
54,12
55,1
56,12
57,1
58,1
59,1
60,1
61,12
62,1
63,12
64,12
65,1
66,1
67,12
68,2
69,1
70,1
71,12
72,12
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,12
83,1
84,12
85,1
86,12
87,1
88,12
89,1
90,12
91,1
92,1
93,1
94,12
95,1
96,1
97,12
98,1
99,1
100,1
101,1
102,12
103,12
104,1
105,1
106,12
107,1
108,1
109,12
110,1
111,1
112,12
113,1
114,12
115,1
116,1
117,1
118,1
119,1
120,1
121,12
122,1
123,1
124,1
125,1
126,1
127,12
128,1
129,12
130,1
131,1
132,1
133,1
134,1
135,12
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,12
144,1
145,12
146,1
147,1
148,1
149,1
150,1
151,1
152,12
153,1
154,1
155,1
156,12
157,1
158,12
159,12
160,1
161,1
162,1
163,12
164,12
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,12
187,1
188,1
189,12
190,12
191,1
192,12
193,12
194,12
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,12
203,1
204,12
205,12
206,1
207,12
208,1
209,1
210,1
211,12
212,1
213,1
214,12
215,12
216,1
217,1
218,1
219,12
220,1
221,12
222,1
223,1
224,1
225,1
226,12
227,1
228,12
229,1
230,1
231,1
232,1
233,12
234,1
235,10
236,1
237,12
238,1
239,12
240,1
241,1
242,1
243,1
244,12
245,1
246,1
247,12
248,1
249,1
250,12
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,12
261,1
262,12
263,1
264,1
265,12
266,1
267,1
268,12
269,12
270,1
271,12
272,1
273,10
274,1
275,12
276,1
277,1
278,12
279,1
280,1
281,10
282,12
283,1
284,1
285,1
286,1
287,12
288,1
289,1
290,1
291,1
292,1
293,1
294,12
295,1
296,1
297,1
298,1
299,1
300,1
301,12
302,12
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,12
311,1
312,1
313,1
314,1
315,12
316,1
317,1
318,1
319,1
320,12
321,12
322,12
323,12
324,1
325,1
326,1
327,12
328,1
329,1
330,1
331,1
332,12
333,2
334,1
335,12
336,12
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,12
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,12
360,1
361,12
362,12
363,10
364,1
365,1
366,1
367,12
368,10
369,1
370,12
371,12
372,12
373,1
374,1
375,1
376,1
377,1
378,1
379,12
380,10
381,1
382,1
383,1
384,10
385,1
386,1
387,12
388,1
389,1
390,1
391,1
392,12
393,12
394,1
395,12
396,12
397,1
398,12
399,1
400,12
401,1
402,12
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,12
416,10
417,1
418,10
419,12
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,12
438,1
439,1
440,12
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,12
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,12
460,1
461,1
462,1
463,1
464,1
465,1
466,12
467,1
468,1
469,12
470,1
471,1
472,12
473,1
474,12
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,12
484,1
485,12
486,1
487,1
488,12
489,12
490,1
491,1
492,1
493,1
494,12
495,1
496,12
497,1
498,12
499,1
500,1
501,1
502,1
503,12
504,1
505,12
506,1
507,12
508,1
509,12
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,12
520,12
521,1
522,1
523,1
524,1
525,1
526,12
527,1
528,12
529,10
530,1
531,1
532,1
533,1
534,12
535,1
536,1
537,1
538,1
539,1
540,1
541,12
542,1
543,2
544,12
545,12
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,12
556,1
557,1
558,1
559,12
560,1
561,12
562,12
563,12
564,1
565,12
566,1
567,1
568,1
569,1
570,12
571,1
572,1
573,1
574,12
575,1
576,1
577,1
578,12
579,1
580,1
581,12
582,12
583,1
584,1
585,12
586,12
587,12
588,1
589,1
590,12
591,1
592,1
593,1
594,1
595,1
596,12
597,1
598,1
599,12
600,1
601,1
602,1
603,10
604,1
605,1
606,1
607,1
608,1
609,10
610,1
611,1
612,1
613,1
614,1
615,12
616,1
617,1
618,12
619,1
620,12
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,12
634,12
635,1
636,1
637,1
638,1
639,12
640,12
641,1
642,1
643,1
644,12
645,1
646,1
647,12
648,1
649,1
650,12
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,12
661,12
662,1
663,12
664,1
665,1
666,12
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,12
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,12
685,1
686,1
687,12
688,1
689,1
690,1
691,12
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,12
704,1
705,1
706,12
707,1
708,1
709,1
710,12
711,1
712,1
713,1
714,1
715,12
716,1
717,1
718,1
719,1
720,12
721,1
722,1
723,12
724,12
725,1
726,12
727,1
728,1
729,1
730,1
731,12
732,1
733,1
734,1
735,1
736,1
737,1
738,12
739,12
740,12
741,12
742,1
743,12
744,10
745,1
746,1
747,1
748,1
749,1
750,12
751,1
752,1
753,1
754,1
755,12
756,1
757,1
758,1
759,1
760,12
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,12
773,1
774,1
775,12
776,1
777,1
778,1
779,1
780,1
781,12
782,1
783,1
784,1
785,1
786,12
787,12
788,1
789,1
790,1
791,1
792,1
793,12
794,12
795,12
796,1
797,1
798,1
799,1
800,1
801,1
802,12
803,1
804,1
805,12
806,12
807,1
